95,3730,,0,47,54.73,1,20,55,31.1,6.51,
96,3760,,0,48,17.34,1,7,17,59.7,5.92,G8III
97,3781,,0,48,35.12,0,74,55,24.1,5.09,
98,3786,,0,48,40.9,1,7,35,6.7,4.44,
99,3801,,0,48,49.99,1,50,58,5.5,4.9,
100,3810,,0,48,58.71,1,16,56,28.1,5.07,
101,3821,,0,49,5.1,1,57,48,59.6,3.46,
102,3881,,0,49,48.83,1,41,4,44.2,4.53,B5V SB
103,3885,,0,49,53.11,1,27,42,37.1,5.55,
104,3909,,0,50,7.72,0,10,38,37.6,5.17,
105,3949,,0,50,41.13,0,50,59,12.9,5.24,
106,4084,,0,52,24.51,0,69,30,12.9,6.67,
107,4147,,0,53,0.49,0,1,8,39.2,4.78,
108,4257,,0,54,17.58,0,8,44,26,6.15,
109,4267,,0,54,35.22,1,19,11,18.4,5.8,
110,4288,,0,54,58.02,1,23,37,42.4,5.46,
111,4292,,0,55,0.19,1,58,58,22.1,4.83,
112,4293,,0,55,0.3,0,69,31,37.1,5.45,
113,4366,,0,55,58.52,1,27,12,33.7,6.08,
114,4371,,0,56,1.51,0,11,15,59.4,5.35,
115,4422,,0,56,40.01,1,59,10,52.2,4.62,
116,4427,,0,56,42.5,1,60,43,0.3,2.15,B0IV:evar
117,4436,,0,56,45.1,1,38,29,57.3,3.86,A5V
118,4463,,0,57,12.43,1,23,25,3.9,4.4,
119,4510,,0,57,50.15,1,28,59,32,5.44,
120,4577,,0,58,36.35,0,29,21,26.9,4.3,B7IIIp
121,4587,,0,58,43.89,0,11,22,47.8,5.62,
122,4770,,1,1,18.23,0,38,54,59.9,5.59,
123,4852,,1,2,26.38,0,31,33,7.4,5.5,
124,4889,,1,2,49.09,1,31,48,15.6,5.5,B9.5V
125,4903,,1,2,54.28,1,41,20,42.7,5.95,
126,4906,,1,2,56.66,1,7,53,24.3,4.27,K0III
127,4914,,1,3,2.6,0,4,50,10.9,5.4,
128,4979,,1,3,48.96,1,1,22,1,6.06,
129,5074,,1,4,52.62,1,5,39,22.7,6.03,
130,5081,,1,5,5.35,1,14,56,45.6,5.64,
131,5121,,1,5,36.9,0,9,58,45.3,6.09,
132,5131,,1,5,40.93,1,21,28,23.6,5.33,
133,5132,,1,5,41.68,1,21,27,55.7,5.55,
134,5141,,1,5,49.22,1,4,54,31.2,6.35,
135,5144,,1,5,51.42,1,4,54,35,7.26,
136,5164,,1,6,5.13,0,9,50,21.7,5.58,
137,5165,,1,6,5.11,0,46,43,6.6,3.32,G8IIIvar
138,5204,,1,6,33.62,1,12,57,21.5,6.14,
139,5268,,1,7,18.57,0,61,46,30.9,5.36,
140,5296,,1,7,46.12,0,9,47,8.1,5.71,
141,5300,,1,7,47.83,0,41,29,13,5.21,
142,5310,,1,7,57.11,1,20,44,21.6,5.56,
143,5317,,1,8,0.72,1,43,56,32.1,5.04,
144,5319,,1,8,1.2,1,32,0,43.9,6.23,
145,5336,,1,8,12.92,1,54,55,27.2,5.17,
146,5346,,1,8,22.34,1,5,39,0.8,5.51,
147,5348,,1,8,23.06,0,55,14,45,3.94,B6V + B0V
148,5364,,1,8,35.26,0,10,10,54.9,3.46,K2III
149,5434,,1,9,30.12,1,47,14,30.6,4.26,
150,5447,Mirach,1,9,43.8,1,35,37,15,2.07,M0IIIvar
151,5454,,1,9,49.2,1,19,39,30.2,5.57,
152,5485,,1,10,11.96,0,8,54,21.7,6.4,
153,5493,,1,10,18.85,1,42,4,53.7,5.67,
154,5510,,1,10,33.56,1,2,26,44.6,5.97,
155,5518,,1,10,39.27,1,68,46,43.3,5.32,
156,5542,,1,11,5.93,1,55,8,59.8,4.34,
157,5544,,1,11,6.77,1,31,25,29.2,5.15,
158,5550,,1,11,10.29,1,37,43,26.9,5.8,
